A person is doing Head flexion with static pace, low intensity, and single temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and sequential temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and smooth temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and single temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and repeated temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and alternating temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and sequential temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and smooth temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and single temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and repeated temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and alternating temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and sequential temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and smooth temporal pattern.
A person is doing Head flexion with static pace, low intensity, and single temporal pattern.
A person is doing Head flexion with static pace, low intensity, and repeated temporal pattern.
A person is doing Head flexion with static pace, low intensity, and alternating temporal pattern.
A person is doing Head flexion with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Head flexion with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Head flexion with static pace, low intensity, and synchronized temporal pattern.
A person is doing Head flexion with static pace, low intensity, and sequential temporal pattern.
A person is doing Head flexion with static pace, low intensity, and abrupt temporal pattern.
A person is doing Head flexion with static pace, low intensity, and smooth temporal pattern.
A person is doing Head flexion with static pace, high intensity, and single temporal pattern.
A person is doing Head flexion with static pace, high intensity, and repeated temporal pattern.
A person is doing Head flexion with static pace, high intensity, and alternating temporal pattern.
A person is doing Head flexion with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Head flexion with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Head flexion with static pace, high intensity, and synchronized temporal pattern.
A person is doing Head flexion with static pace, high intensity, and sequential temporal pattern.
A person is doing Head flexion with static pace, high intensity, and abrupt temporal pattern.
A person is doing Head flexion with static pace, high intensity, and smooth temporal pattern.
A person is doing Head flexion with slow pace, low intensity, and single temporal pattern.
A person is doing Head flexion with slow pace, low intensity, and repeated temporal pattern.
A person is doing Head flexion with slow pace, low intensity, and alternating temporal pattern.
A person is doing Head flexion with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Head flexion with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Head flexion with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Head flexion with slow pace, low intensity, and sequential temporal pattern.
A person is doing Head flexion with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Head flexion with slow pace, low intensity, and smooth temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and single temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and repeated temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and alternating temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and sequential temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Head flexion with slow pace, high intensity, and smooth temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and single temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and repeated temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and alternating temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and sequential temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Head flexion with fast pace, low intensity, and smooth temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and single temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and repeated temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and alternating temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and sequential temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Head flexion with fast pace, high intensity, and smooth temporal pattern.
A person is doing Head extension with static pace, low intensity, and single temporal pattern.
A person is doing Head extension with static pace, low intensity, and repeated temporal pattern.
A person is doing Head extension with static pace, low intensity, and alternating temporal pattern.
A person is doing Head extension with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Head extension with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Head extension with static pace, low intensity, and synchronized temporal pattern.
A person is doing Head extension with static pace, low intensity, and sequential temporal pattern.
A person is doing Head extension with static pace, low intensity, and abrupt temporal pattern.
A person is doing Head extension with static pace, low intensity, and smooth temporal pattern.
A person is doing Head extension with static pace, high intensity, and single temporal pattern.
A person is doing Head extension with static pace, high intensity, and repeated temporal pattern.
A person is doing Head extension with static pace, high intensity, and alternating temporal pattern.
A person is doing Head extension with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Head extension with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Head extension with static pace, high intensity, and synchronized temporal pattern.
A person is doing Head extension with static pace, high intensity, and sequential temporal pattern.
A person is doing Head extension with static pace, high intensity, and abrupt temporal pattern.
A person is doing Head extension with static pace, high intensity, and smooth temporal pattern.
A person is doing Head extension with slow pace, low intensity, and single temporal pattern.
A person is doing Head extension with slow pace, low intensity, and repeated temporal pattern.
A person is doing Head extension with slow pace, low intensity, and alternating temporal pattern.
A person is doing Head extension with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Head extension with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Head extension with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Head extension with slow pace, low intensity, and sequential temporal pattern.
A person is doing Head extension with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Head extension with slow pace, low intensity, and smooth temporal pattern.
A person is doing Head extension with slow pace, high intensity, and single temporal pattern.
A person is doing Head extension with slow pace, high intensity, and repeated temporal pattern.
A person is doing Head extension with slow pace, high intensity, and alternating temporal pattern.
A person is doing Head extension with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Head extension with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Head extension with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Head extension with slow pace, high intensity, and sequential temporal pattern.
A person is doing Head extension with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Head extension with slow pace, high intensity, and smooth temporal pattern.
A person is doing Head extension with fast pace, low intensity, and single temporal pattern.
A person is doing Head extension with fast pace, low intensity, and repeated temporal pattern.
A person is doing Head extension with fast pace, low intensity, and alternating temporal pattern.
A person is doing Head extension with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Head extension with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Head extension with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Head extension with fast pace, low intensity, and sequential temporal pattern.
A person is doing Head extension with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Head extension with fast pace, low intensity, and smooth temporal pattern.
A person is doing Head extension with fast pace, high intensity, and single temporal pattern.
A person is doing Head extension with fast pace, high intensity, and repeated temporal pattern.
A person is doing Head extension with fast pace, high intensity, and alternating temporal pattern.
A person is doing Head extension with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Head extension with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Head extension with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Head extension with fast pace, high intensity, and sequential temporal pattern.
A person is doing Head extension with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Head extension with fast pace, high intensity, and smooth temporal pattern.
A person is doing Head extension with static pace, low intensity, and single temporal pattern.
A person is doing Head extension with static pace, low intensity, and repeated temporal pattern.
A person is doing Head extension with static pace, low intensity, and alternating temporal pattern.
A person is doing Head extension with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Head extension with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Head extension with static pace, low intensity, and synchronized temporal pattern.
A person is doing Head extension with static pace, low intensity, and sequential temporal pattern.
A person is doing Head extension with static pace, low intensity, and abrupt temporal pattern.
A person is doing Head extension with static pace, low intensity, and smooth temporal pattern.
A person is doing Head extension with static pace, high intensity, and single temporal pattern.
A person is doing Head extension with static pace, high intensity, and repeated temporal pattern.
A person is doing Head extension with static pace, high intensity, and alternating temporal pattern.
A person is doing Head extension with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Head extension with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Head extension with static pace, high intensity, and synchronized temporal pattern.
A person is doing Head extension with static pace, high intensity, and sequential temporal pattern.
A person is doing Head extension with static pace, high intensity, and abrupt temporal pattern.
A person is doing Head extension with static pace, high intensity, and smooth temporal pattern.
A person is doing Head extension with slow pace, low intensity, and single temporal pattern.
A person is doing Head extension with slow pace, low intensity, and repeated temporal pattern.
A person is doing Head extension with slow pace, low intensity, and alternating temporal pattern.
A person is doing Head extension with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Head extension with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Head extension with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Head extension with slow pace, low intensity, and sequential temporal pattern.
A person is doing Head extension with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Head extension with slow pace, low intensity, and smooth temporal pattern.
A person is doing Head extension with slow pace, high intensity, and single temporal pattern.
A person is doing Head extension with slow pace, high intensity, and repeated temporal pattern.
A person is doing Head extension with slow pace, high intensity, and alternating temporal pattern.
A person is doing Head extension with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Head extension with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Head extension with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Head extension with slow pace, high intensity, and sequential temporal pattern.
A person is doing Head extension with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Head extension with slow pace, high intensity, and smooth temporal pattern.
A person is doing Head extension with fast pace, low intensity, and single temporal pattern.
A person is doing Head extension with fast pace, low intensity, and repeated temporal pattern.
A person is doing Head extension with fast pace, low intensity, and alternating temporal pattern.
A person is doing Head extension with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Head extension with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Head extension with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Head extension with fast pace, low intensity, and sequential temporal pattern.
A person is doing Head extension with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Head extension with fast pace, low intensity, and smooth temporal pattern.
A person is doing Head extension with fast pace, high intensity, and single temporal pattern.
A person is doing Head extension with fast pace, high intensity, and repeated temporal pattern.
A person is doing Head extension with fast pace, high intensity, and alternating temporal pattern.
A person is doing Head extension with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Head extension with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Head extension with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Head extension with fast pace, high intensity, and sequential temporal pattern.
A person is doing Head extension with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Head extension with fast pace, high intensity, and smooth temporal pattern.
A person is doing Head lateral flexion left with static pace, low intensity, and single temporal pattern.
A person is doing Head lateral flexion left with static pace, low intensity, and repeated temporal pattern.
A person is doing Head lateral flexion left with static pace, low intensity, and alternating temporal pattern.
A person is doing Head lateral flexion left with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Head lateral flexion left with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Head lateral flexion left with static pace, low intensity, and synchronized temporal pattern.
A person is doing Head lateral flexion left with static pace, low intensity, and sequential temporal pattern.
A person is doing Head lateral flexion left with static pace, low intensity, and abrupt temporal pattern.
A person is doing Head lateral flexion left with static pace, low intensity, and smooth temporal pattern.
A person is doing Head lateral flexion left with static pace, high intensity, and single temporal pattern.
A person is doing Head lateral flexion left with static pace, high intensity, and repeated temporal pattern.
A person is doing Head lateral flexion left with static pace, high intensity, and alternating temporal pattern.
A person is doing Head lateral flexion left with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Head lateral flexion left with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Head lateral flexion left with static pace, high intensity, and synchronized temporal pattern.
A person is doing Head lateral flexion left with static pace, high intensity, and sequential temporal pattern.
A person is doing Head lateral flexion left with static pace, high intensity, and abrupt temporal pattern.
A person is doing Head lateral flexion left with static pace, high intensity, and smooth temporal pattern.
A person is doing Head lateral flexion left with slow pace, low intensity, and single temporal pattern.
A person is doing Head lateral flexion left with slow pace, low intensity, and repeated temporal pattern.
A person is doing Head lateral flexion left with slow pace, low intensity, and alternating temporal pattern.
A person is doing Head lateral flexion left with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Head lateral flexion left with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Head lateral flexion left with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Head lateral flexion left with slow pace, low intensity, and sequential temporal pattern.
A person is doing Head lateral flexion left with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Head lateral flexion left with slow pace, low intensity, and smooth temporal pattern.
A person is doing Head lateral flexion left with slow pace, high intensity, and single temporal pattern.
A person is doing Head lateral flexion left with slow pace, high intensity, and repeated temporal pattern.
A person is doing Head lateral flexion left with slow pace, high intensity, and alternating temporal pattern.
A person is doing Head lateral flexion left with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Head lateral flexion left with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Head lateral flexion left with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Head lateral flexion left with slow pace, high intensity, and sequential temporal pattern.
A person is doing Head lateral flexion left with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Head lateral flexion left with slow pace, high intensity, and smooth temporal pattern.
A person is doing Head lateral flexion left with fast pace, low intensity, and single temporal pattern.
A person is doing Head lateral flexion left with fast pace, low intensity, and repeated temporal pattern.
A person is doing Head lateral flexion left with fast pace, low intensity, and alternating temporal pattern.
A person is doing Head lateral flexion left with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Head lateral flexion left with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Head lateral flexion left with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Head lateral flexion left with fast pace, low intensity, and sequential temporal pattern.
A person is doing Head lateral flexion left with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Head lateral flexion left with fast pace, low intensity, and smooth temporal pattern.
A person is doing Head lateral flexion left with fast pace, high intensity, and single temporal pattern.
A person is doing Head lateral flexion left with fast pace, high intensity, and repeated temporal pattern.
A person is doing Head lateral flexion left with fast pace, high intensity, and alternating temporal pattern.
A person is doing Head lateral flexion left with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Head lateral flexion left with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Head lateral flexion left with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Head lateral flexion left with fast pace, high intensity, and sequential temporal pattern.
A person is doing Head lateral flexion left with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Head lateral flexion left with fast pace, high intensity, and smooth temporal pattern.
A person is doing Head lateral flexion right with static pace, low intensity, and single temporal pattern.
A person is doing Head lateral flexion right with static pace, low intensity, and repeated temporal pattern.
A person is doing Head lateral flexion right with static pace, low intensity, and alternating temporal pattern.
A person is doing Head lateral flexion right with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Head lateral flexion right with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Head lateral flexion right with static pace, low intensity, and synchronized temporal pattern.
A person is doing Head lateral flexion right with static pace, low intensity, and sequential temporal pattern.
A person is doing Head lateral flexion right with static pace, low intensity, and abrupt temporal pattern.
A person is doing Head lateral flexion right with static pace, low intensity, and smooth temporal pattern.
A person is doing Head lateral flexion right with static pace, high intensity, and single temporal pattern.
A person is doing Head lateral flexion right with static pace, high intensity, and repeated temporal pattern.
A person is doing Head lateral flexion right with static pace, high intensity, and alternating temporal pattern.
A person is doing Head lateral flexion right with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Head lateral flexion right with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Head lateral flexion right with static pace, high intensity, and synchronized temporal pattern.
A person is doing Head lateral flexion right with static pace, high intensity, and sequential temporal pattern.
A person is doing Head lateral flexion right with static pace, high intensity, and abrupt temporal pattern.
A person is doing Head lateral flexion right with static pace, high intensity, and smooth temporal pattern.
A person is doing Head lateral flexion right with slow pace, low intensity, and single temporal pattern.
A person is doing Head lateral flexion right with slow pace, low intensity, and repeated temporal pattern.
A person is doing Head lateral flexion right with slow pace, low intensity, and alternating temporal pattern.
A person is doing Head lateral flexion right with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Head lateral flexion right with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Head lateral flexion right with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Head lateral flexion right with slow pace, low intensity, and sequential temporal pattern.
A person is doing Head lateral flexion right with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Head lateral flexion right with slow pace, low intensity, and smooth temporal pattern.
A person is doing Head lateral flexion right with slow pace, high intensity, and single temporal pattern.
A person is doing Head lateral flexion right with slow pace, high intensity, and repeated temporal pattern.
A person is doing Head lateral flexion right with slow pace, high intensity, and alternating temporal pattern.
A person is doing Head lateral flexion right with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Head lateral flexion right with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Head lateral flexion right with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Head lateral flexion right with slow pace, high intensity, and sequential temporal pattern.
A person is doing Head lateral flexion right with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Head lateral flexion right with slow pace, high intensity, and smooth temporal pattern.
A person is doing Head lateral flexion right with fast pace, low intensity, and single temporal pattern.
A person is doing Head lateral flexion right with fast pace, low intensity, and repeated temporal pattern.
A person is doing Head lateral flexion right with fast pace, low intensity, and alternating temporal pattern.
A person is doing Head lateral flexion right with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Head lateral flexion right with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Head lateral flexion right with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Head lateral flexion right with fast pace, low intensity, and sequential temporal pattern.
A person is doing Head lateral flexion right with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Head lateral flexion right with fast pace, low intensity, and smooth temporal pattern.
A person is doing Head lateral flexion right with fast pace, high intensity, and single temporal pattern.
A person is doing Head lateral flexion right with fast pace, high intensity, and repeated temporal pattern.
A person is doing Head lateral flexion right with fast pace, high intensity, and alternating temporal pattern.
A person is doing Head lateral flexion right with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Head lateral flexion right with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Head lateral flexion right with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Head lateral flexion right with fast pace, high intensity, and sequential temporal pattern.
A person is doing Head lateral flexion right with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Head lateral flexion right with fast pace, high intensity, and smooth temporal pattern.
A person is doing Head axial rotation left with static pace, low intensity, and single temporal pattern.
A person is doing Head axial rotation left with static pace, low intensity, and repeated temporal pattern.
A person is doing Head axial rotation left with static pace, low intensity, and alternating temporal pattern.
A person is doing Head axial rotation left with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Head axial rotation left with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Head axial rotation left with static pace, low intensity, and synchronized temporal pattern.
A person is doing Head axial rotation left with static pace, low intensity, and sequential temporal pattern.
A person is doing Head axial rotation left with static pace, low intensity, and abrupt temporal pattern.
A person is doing Head axial rotation left with static pace, low intensity, and smooth temporal pattern.
A person is doing Head axial rotation left with static pace, high intensity, and single temporal pattern.
A person is doing Head axial rotation left with static pace, high intensity, and repeated temporal pattern.
A person is doing Head axial rotation left with static pace, high intensity, and alternating temporal pattern.
A person is doing Head axial rotation left with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Head axial rotation left with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Head axial rotation left with static pace, high intensity, and synchronized temporal pattern.
A person is doing Head axial rotation left with static pace, high intensity, and sequential temporal pattern.
A person is doing Head axial rotation left with static pace, high intensity, and abrupt temporal pattern.
A person is doing Head axial rotation left with static pace, high intensity, and smooth temporal pattern.
A person is doing Head axial rotation left with slow pace, low intensity, and single temporal pattern.
A person is doing Head axial rotation left with slow pace, low intensity, and repeated temporal pattern.
A person is doing Head axial rotation left with slow pace, low intensity, and alternating temporal pattern.
A person is doing Head axial rotation left with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Head axial rotation left with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Head axial rotation left with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Head axial rotation left with slow pace, low intensity, and sequential temporal pattern.
A person is doing Head axial rotation left with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Head axial rotation left with slow pace, low intensity, and smooth temporal pattern.
A person is doing Head axial rotation left with slow pace, high intensity, and single temporal pattern.
A person is doing Head axial rotation left with slow pace, high intensity, and repeated temporal pattern.
A person is doing Head axial rotation left with slow pace, high intensity, and alternating temporal pattern.
A person is doing Head axial rotation left with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Head axial rotation left with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Head axial rotation left with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Head axial rotation left with slow pace, high intensity, and sequential temporal pattern.
A person is doing Head axial rotation left with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Head axial rotation left with slow pace, high intensity, and smooth temporal pattern.
A person is doing Head axial rotation left with fast pace, low intensity, and single temporal pattern.
A person is doing Head axial rotation left with fast pace, low intensity, and repeated temporal pattern.
A person is doing Head axial rotation left with fast pace, low intensity, and alternating temporal pattern.
A person is doing Head axial rotation left with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Head axial rotation left with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Head axial rotation left with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Head axial rotation left with fast pace, low intensity, and sequential temporal pattern.
A person is doing Head axial rotation left with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Head axial rotation left with fast pace, low intensity, and smooth temporal pattern.
A person is doing Head axial rotation left with fast pace, high intensity, and single temporal pattern.
A person is doing Head axial rotation left with fast pace, high intensity, and repeated temporal pattern.
A person is doing Head axial rotation left with fast pace, high intensity, and alternating temporal pattern.
A person is doing Head axial rotation left with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Head axial rotation left with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Head axial rotation left with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Head axial rotation left with fast pace, high intensity, and sequential temporal pattern.
A person is doing Head axial rotation left with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Head axial rotation left with fast pace, high intensity, and smooth temporal pattern.
A person is doing Head axial rotation right with static pace, low intensity, and single temporal pattern.
A person is doing Head axial rotation right with static pace, low intensity, and repeated temporal pattern.
A person is doing Head axial rotation right with static pace, low intensity, and alternating temporal pattern.
A person is doing Head axial rotation right with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Head axial rotation right with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Head axial rotation right with static pace, low intensity, and synchronized temporal pattern.
A person is doing Head axial rotation right with static pace, low intensity, and sequential temporal pattern.
A person is doing Head axial rotation right with static pace, low intensity, and abrupt temporal pattern.
A person is doing Head axial rotation right with static pace, low intensity, and smooth temporal pattern.
A person is doing Head axial rotation right with static pace, high intensity, and single temporal pattern.
A person is doing Head axial rotation right with static pace, high intensity, and repeated temporal pattern.
A person is doing Head axial rotation right with static pace, high intensity, and alternating temporal pattern.
A person is doing Head axial rotation right with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Head axial rotation right with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Head axial rotation right with static pace, high intensity, and synchronized temporal pattern.
A person is doing Head axial rotation right with static pace, high intensity, and sequential temporal pattern.
A person is doing Head axial rotation right with static pace, high intensity, and abrupt temporal pattern.
A person is doing Head axial rotation right with static pace, high intensity, and smooth temporal pattern.
A person is doing Head axial rotation right with slow pace, low intensity, and single temporal pattern.
A person is doing Head axial rotation right with slow pace, low intensity, and repeated temporal pattern.
A person is doing Head axial rotation right with slow pace, low intensity, and alternating temporal pattern.
A person is doing Head axial rotation right with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Head axial rotation right with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Head axial rotation right with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Head axial rotation right with slow pace, low intensity, and sequential temporal pattern.
A person is doing Head axial rotation right with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Head axial rotation right with slow pace, low intensity, and smooth temporal pattern.
